2026-02-24 05:37:40 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 05:37:56 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 05:38:43 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 05:39:34 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 05:43:54 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 05:49:04 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 06:00:13 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 06:02:33 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 06:12:01 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 06:12:40 AM: SetCurrentView: HomeViewModel, Title: الرئيسية
2026-02-24 06:13:06 AM: SetCurrentView: MaintenanceViewModel, Title: الصيانة
